주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
301-2-000014,중앙시장앞주차장,공영,노외,,충청남도 천안시 동남구 영성동 20-2,60,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,30,500,10,200,,10000,80000,현금,전통시장 이용자 1시간 무료+10분초과시200원 / 경차 및 장애인 50프로할인,충청남도 천안시 남산중앙시장상인회,041-553-1136,36.80396842,127.1508934,,2025-11-28
301-2-000016,남산중앙시장주차장,공영,노외,충청남도 천안시 동남구 사직2길 19,충청남도 천안시 동남구 사직동 263,57,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,30,500,10,200,,10000,80000,현금,전통시장 이용자 1시간 무료+10분초과시200원 / 경차 및 장애인 50프로할인,충청남도 천안시 남산중앙시장상인회,041-553-1136,36.80031284,127.1484548,,2025-11-28
301-2-000022,청수상업지구내 주차빌딩주차장,공영,노외,충청남도 천안시 동남구 청수11로 12,충청남도 천안시 동남구 청당동 511,364,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,충청남도 천안시 천안축산농협,041-520-6000,36.78249305,127.1536331,,2025-11-28
301-2-000028,남산중앙시장제2주차장,공영,노외,충청남도 천안시 동남구 큰재빼기길 29,충청남도 천안시 동남구 오룡동 189-1,67,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,30,500,10,200,,10000,80000,현금,전통시장 이용자 1시간 무료+10분초과시200원 / 경차 및 장애인 50프로할인,충청남도 천안시 남산중앙시장상인회,041-553-1136,36.80431803,127.1495845,,2025-11-28
301-3-000031,봉명동주민센터 주차장,공영,부설,충청남도 천안시 동남구 봉정로 37,충청남도 천안시 동남구 봉명동 42-1,12,2,미시행,평일+토요일+공휴일,09:00,22:00,09:00,22:00,09:00,22:00,무료,0,,,,,,,,,충청남도 천안시청,041-521-4901,36.8055391,127.1394121,,2025-11-28
301-3-000032,농업기술센터주차장,공영,부설,충청남도 천안시 동남구 목천읍 목천안터1길 15,충청남도 천안시 동남구 목천읍 신계리 280-1,84,2,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,무료,0,,,,,,,,,충청남도 천안시청,041-521-2901,36.77550806,127.2078978,,2025-11-28
301-3-000033,북면사무소주차장,공영,부설,충청남도 천안시 동남구 북면 위례성로 724,충청남도 천안시 동남구 북면 오곡리 399-1,15,2,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,무료,0,,,,,,,,,충청남도 천안시청,041-521-4724,36.82747276,127.2732435,,2025-11-28
301-3-000034,동남구청주차장,공영,부설,충청남도 천안시 동남구 버들로 40,충청남도 천안시 동남구 문화동 112-15,58,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,충청남도 천안시청,041-521-4043,36.80719083,127.1514651,,2025-11-28
301-3-000035,수신면사무소주차장,공영,부설,충청남도 천안시 동남구 수신면 수신로 431,충청남도 천안시 동남구 수신면 속창리 126-2,24,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,충청남도 천안시청,041-521-4761,36.7311552,127.2809647,,2025-11-28
301-3-000036,신안동주민센터주차장,공영,부설,충청남도 천안시 동남구 먹거리11길 45,충청남도 천안시 동남구 신부동 462-15,11,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,충청남도 천안시청,041-521-4981,36.81840257,127.1576052,,2025-11-28
301-3-000037,일봉동주민센터주차장,공영,부설,충청남도 천안시 동남구 신용로 48,충청남도 천안시 동남구 다가동 368-8,8,2,미시행,평일+토요일+공휴일,09:00,22:00,09:00,22:00,09:00,22:00,무료,0,,,,,,,,,충청남도 천안시청,041-521-4923,36.80122533,127.1420521,,2025-11-28
301-3-000038,중앙동주민센터주차장,공영,부설,충청남도 천안시 동남구 원성천1길 17(영성동),충청남도 천안시 동남구 영성동 62-6,5,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,충청남도 천안시청,041-521-4825,36.80006272,127.1524177,,2025-11-28
301-3-000039,신방동주민센터주차장,공영,부설,충청남도 천안시 동남구 천안천변길 129-41(신방동),충청남도 천안시 동남구 신방동 719-3,29,2,미시행,평일+토요일+공휴일,09:00,22:00,09:00,22:00,09:00,22:00,무료,0,,,,,,,,,충청남도 천안시청,041-521-4941,36.78587053,127.1224907,,2025-11-28
301-3-000040,청룡동주민센터주차장,공영,부설,충청남도 천안시 동남구 청수14로 99,충청남도 천안시 동남구 청당동 479,19,2,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,무료,0,,,,,,,,,충청남도 천안시청,041-521-4564,36.78607183,127.1567413,,2025-11-28
301-3-000041,병천면사무소주차장,공영,부설,충청남도 천안시 동남구 병천면 병천2로 57,충청남도 천안시 동남구 병천면 병천리 360-1,32,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,충청남도 천안시청,041-521-6884,36.76719291,127.3025835,,2025-11-28
301-3-000042,성남면사무소주차장,공영,부설,충청남도 천안시 동남구 성남면 신사대화로 149,충청남도 천안시 동남구 성남면 신사리 325-1,12,2,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,무료,0,,,,,,,,,충청남도 천안시청,041-521-4741,36.74222767,127.2369289,,2025-11-28
301-3-000043,문성동주민센터주차장,공영,부설,충청남도 천안시 동남구 문화로 15,충청남도 천안시 동남구 문화동 39-4,115,2,미시행,평일+토요일+공휴일,09:00,23:59,09:00,23:59,09:00,20:00,유료,30,500,10,200,,10000,,현금,,충청남도 천안시청,041-521-4282,36.8109412,127.1502833,,2025-11-28
301-3-000044,원성1동주민센터주차장,공영,부설,충청남도 천안시 동남구 성황로 125,충청남도 천안시 동남구 원성동 31-62,13,2,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,무료,0,,,,,,,,,충청남도 천안시청,041-521-4863,36.81187124,127.163016,,2025-11-28
301-3-000045,목천읍사무소주차장,공영,부설,충청남도 천안시 동남구 목천읍 서리1길 41-7,충청남도 천안시 동남구 목천읍 서리 93-1,30,2,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,22:00,무료,0,,,,,,,,,충청남도 천안시청,041-521-4671,36.78517959,127.2346095,,2025-11-28
301-3-000046,동면사무소주차장,공영,부설,충청남도 천안시 동남구 동면 동산1길 15,충청남도 천안시 동남구 동면 화계리 181-1,23,2,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,22:00,무료,0,,,,,,,,,충청남도 천안시청,041-521-4801,36.7761603,127.3443628,,2025-11-28
